STARID,LABEL,1th Peak,1th Peak F.A.P,2th Peak,2th Peak F.A.P,3th Peak,3th Peak F.A.P,4th Peak,4th Peak F.A.P,5th Peak,5th Peak F.A.P,6th Peak,6th Peak F.A.P,7th Peak,7th Peak F.A.P,8th Peak,8th Peak F.A.P,9th Peak,9th Peak F.A.P,10th Peak,10th Peak F.A.P,11th Peak,11th Peak F.A.P,12th Peak,12th Peak F.A.P,13th Peak,13th Peak F.A.P,14th Peak,14th Peak F.A.P,15th Peak,15th Peak F.A.P,16th Peak,16th Peak F.A.P,17th Peak,17th Peak F.A.P,18th Peak,18th Peak F.A.P,19th Peak,19th Peak F.A.P,20th Peak,20th Peak F.A.P,21th Peak,21th Peak F.A.P,22th Peak,22th Peak F.A.P,23th Peak,23th Peak F.A.P,24th Peak,24th Peak F.A.P,25th Peak,25th Peak F.A.P,26th Peak,26th Peak F.A.P,27th Peak,27th Peak F.A.P,28th Peak,28th Peak F.A.P,29th Peak,29th Peak F.A.P,30th Peak,30th Peak F.A.P
NP-G267-158,1,0.550843763828229,1.3288292810708501e-05,0.5159905778240591,6.179154590316702e-05,0.5072431902937229,8.924549892710263e-05,0.5020540195569455,0.00011063761785656123,0.4826053425785182,0.00024253641811719816,0.4522653341527017,0.0007768812912915202,0.4353034618600371,0.0014457670233253134,0.4340325333203513,0.0015134060373813258,0.4274748607609315,0.001912698143948566,0.42037575307160496,0.002456427486812333,0.4164375527692437,0.0028180558676974945,0.4162153297783313,0.002839892754669016,0.41273386075928425,0.003203589823249621,0.40671932318352605,0.003937654656973445,0.39986800253446014,0.0049666492318094745,0.3967484843782052,0.005514896541755977,0.3939837478377977,0.006048032130204765,0.3937167468471031,0.006102014886538954,0.38971083764981107,0.006968477629460402,0.38526123831182535,0.008066265536696633,0.3850905627954811,0.008111454508339467,0.3835899512642956,0.008519149222245625,0.3834366774077135,0.008561859628271983,0.3826266584195779,0.008790940431102255,0.3769551693529657,0.010563870691401269,0.3755258861624719,0.011060939632146459,0.371049580725322,0.012763538242115324,0.36908725428787736,0.013584906860463741,0.3671189283703988,0.014458368063900282,0.35437493922386665,0.02151592222000156
NP-GJ1001,1,0.5632210010320731,0.005827778707989787,0.5430756877402266,0.010035076812438442,0.5212393125003928,0.017557287737922495,0.4771966622809293,0.049661484943230284,0.4709168678690222,0.05705654034198127,0.4616804999261142,0.06967829712068895,0.4392683749844664,0.11070770822203108,0.3912249604168574,0.26622617996385,0.3827942482591821,0.3048812771438097,0.37130642823983295,0.3630668407636449,0.3139370512687007,0.7096073559641902,0.31098003608346103,0.7271173331070228,0.30799477441463324,0.7444385943222646,0.3027288479026207,0.7739814124484505,0.29474040130947743,0.8158773076139412,0.2920538853600475,0.8290672008231781,0.28879331891993554,0.8444122694988282,0.2801423320645151,0.8813692795134114,0.27865281554669274,0.8871584030907144,0.26919492639505505,0.9198660362201778,0.2687318945032355,0.9212873420362552,0.2588707928578773,0.9476688642490392,0.2530603956590619,0.9598981863117004,0.2469487979855817,0.9703530626386404,0.2466991643893728,0.9707312769766824,0.24537829570073874,0.9726719953010644,0.24189365751008704,0.9773217609052968,0.24099279990802855,0.9784178645523208,0.2380731241471867,0.9816893654567506,0.2311329344097316,0.9879088998128936
NP-GJ1012,1,0.4747779568187735,0.98227817426992,0.4528860637637789,0.9884247466850864,0.3948035649163503,0.9965205839700422,0.3378489365077265,0.9989910183807024,0.3338721581413185,0.9990749914758746,0.31190343190271924,0.9994261950581926,0.29932606965114683,0.9995619607322156,0.2961119481784422,0.999590926184424,0.2909808166259077,0.9996330372559716,0.2905084515457673,0.9996366749331701,0.2898677508413497,0.9996415475192176,0.28553613633713865,0.9996727076522952,0.2797605432288233,0.9997097949735676,0.2797144362253665,0.9997100720501764,0.27586086463188986,0.9997322412185494,0.26516777601616104,0.999784569659058,0.2621384735455136,0.9997972439251229,0.26003472711918585,0.9998055511228132,0.2548429541231337,0.99982444700151,0.2547704359245128,0.9998246956386004,0.2488202571073751,0.999843777015148,0.24731829240169306,0.9998482042032518,0.2430713170117024,0.9998599452526108,0.2388810996490523,0.9998704847783212,0.2334710374783308,0.999882709667115,0.2264788723735008,0.9998964699735926,0.22442819315375254,0.9999001144808048,0.2236677671625021,0.999901424051734,0.2230196840601605,0.9999025227254216,0.22169546668602366,0.9999047187710076
NP-GJ1031,1,0.3348610017952829,0.2884862614244569,0.3321608102008047,0.3040147542086906,0.2589164253085903,0.8318274764831265,0.2551479966067007,0.8540215116691475,0.2407453257008282,0.9230206165785068,0.2404645339414376,0.9241055888115768,0.23803921307744536,0.933063048347382,0.2337289242283841,0.9471821336435888,0.21861811770546166,0.9802824327485952,0.21372298132296044,0.9864810097994152,0.21314264640433564,0.9870994448396688,0.21064618503461652,0.9895079437396372,0.209551212015041,0.9904431989690856,0.20730398143453407,0.9921517549778172,0.2058896053282814,0.9930928615494332,0.1959189403076889,0.9974291924666556,0.19581750590139807,0.9974570278880991,0.19064475231775693,0.9985746154089143,0.188756288820034,0.9988598619454904,0.18522277765239212,0.9992625787374656,0.1838277171766016,0.999383225995714,0.18346048831844144,0.999411935047335,0.17895484963432495,0.9996795017838556,0.1787067863538703,0.9996904107449696,0.17635203665287544,0.9997785857071156,0.16873857990526422,0.9999310902782191,0.16725084387588107,0.9999459890199766,0.16544123627839102,0.9999601244500952,0.1645054952552454,0.9999660204719304,0.16326015509596645,0.999972628969949
NP-GJ1032,1,0.7361448929871157,0.22956667086205185,0.7259871951843088,0.2601575120720985,0.7258127506971632,0.2606996621898884,0.7227402731725943,0.2703381766399547,0.7171615023825002,0.28826108034149045,0.7145208285621406,0.29692734394949954,0.7144975015557768,0.2970044061604011,0.7131549072558375,0.3014544641862675,0.7063812475711705,0.324331677105828,0.7052913584890762,0.3280762046975968,0.7036907290162204,0.3336059009380893,0.7036731893692422,0.3336666926894057,0.6957902027019528,0.3613985335275989,0.6935191598497289,0.3695298522030109,0.6926745631259075,0.3725688252324652,0.6899063491198525,0.38258341824943604,0.6875943442165074,0.3910080336716975,0.6844684628362321,0.40247926731995975,0.6819161717579085,0.4119090476388909,0.6818959708959301,0.4119838956392205,0.6763061763259597,0.4328110563846013,0.6705901814600881,0.4543099942790061,0.6685903916733734,0.4618690295942656,0.6631902653323007,0.4823501208585348,0.6606346153643575,0.4920671480882273,0.6584975744323557,0.500198961834666,0.6531906837281305,0.5203961197462638,0.6524864397588621,0.5230748279412278,0.6506124333091583,0.5301990669154816,0.6503026097368664,0.5313762469746202
NP-GJ103,1,0.6772615929811454,0.4685732579874658,0.6628988435230941,0.5175315123530407,0.6612070633425058,0.5232805284679818,0.6562600884897332,0.540043032372043,0.6480698927151208,0.5675755988815777,0.6422422400389157,0.5869414821280904,0.6405342880489954,0.5925743900951755,0.6378767140373794,0.6012964187452924,0.6370879940066139,0.6038744478766825,0.6290674739383753,0.6297896996100915,0.6280927928360425,0.6328988381314731,0.6219259322373363,0.6523474046653314,0.6199585302390709,0.6584665131543821,0.6171605218812585,0.6670934469101372,0.6031834859070205,0.7087395924469605,0.5982772028950845,0.722736085505894,0.5959565485512557,0.7292357501206304,0.5862254616259399,0.7556090169358558,0.5846543046517378,0.7597295918830774,0.5689335789713267,0.7987522927662367,0.5670874177973371,0.8030651132769775,0.5624824674485599,0.8135704609581167,0.560259056817369,0.8185131549246938,0.5601282094425168,0.818801393006455,0.5599661596997692,0.8191579584730533,0.5589104679653562,0.8214698171312128,0.5577615654606858,0.8239640532333922,0.5539593053226205,0.8320567984543016,0.5493881701746319,0.8414565589956104,0.5475344555502529,0.8451659083117167
NP-GJ1046,1,0.9746426737380264,1.2175343559295366e-16,0.9722972914813142,3.3634553710656533e-16,0.9606285798738364,1.9045536817415225e-14,0.8671036460370714,2.156076212063625e-08,0.8605936387066644,3.7230113899908485e-08,0.8566428576904567,5.122453875748178e-08,0.8458103403718772,1.1764015216171989e-07,0.8456429291690105,1.1910574974735994e-07,0.8333585681275588,2.8525649936746895e-07,0.8320578174150627,3.116971704469807e-07,0.8210832484488823,6.412478753120958e-07,0.8050102558757087,1.7077378326974154e-06,0.7814439428281316,6.2497563674784225e-06,0.7746404004525295,8.852828959092275e-06,0.7693915370075085,1.1497630153927715e-05,0.7626784337465196,1.5923302695828556e-05,0.7610410064710837,1.721516186669227e-05,0.7510925998201701,2.733955603578634e-05,0.7450073032626776,3.594777093315744e-05,0.7332993276207097,5.9767289011463706e-05,0.7326459457428319,6.144574710668737e-05,0.7290891649300266,7.135869378282889e-05,0.7133173550792883,0.00013531157361087128,0.7033420090219724,0.0001991203287056586,0.6987483416578433,0.00023683164653629576,0.6954503152616037,0.0002677896836192076,0.6826692583904419,0.00042568057875167273,0.6819947826658933,0.00043598619741883483,0.6650523541114047,0.0007820196543348106,0.6441461308587279,0.0015436845364737745
NP-GJ1057,1,0.4211787635927484,0.9956831934134056,0.4033186066386679,0.9968499645566136,0.3803882744843206,0.9978962762149058,0.3802388006922576,0.997901784460454,0.3368633567836073,0.9990077116976354,0.3265173794822757,0.9991656433873854,0.30550415342989434,0.999407737453572,0.30506285839169034,0.9994118930846341,0.3050128353507179,0.9994123620420864,0.2916319892377653,0.9995236451448491,0.2688192290173767,0.9996608449410456,0.2685043485278502,0.9996623694698744,0.2601160675706222,0.9996999381204078,0.2482488772597062,0.9997442114890976,0.2457892263671442,0.9997522528990104,0.24353325123844666,0.9997593182618554,0.2404994933765758,0.9997683724102318,0.2313159840869749,0.9997929040837265,0.2301394882948261,0.9997957576097192,0.2282625208889413,0.9998001833419196,0.21348736705237928,0.9998300853513308,0.2122263096422009,0.9998322695038514,0.20882375348551568,0.9998379027006492,0.20144251837823102,0.9998488954530808,0.1957884875600633,0.9998562672350354,0.19577241793691572,0.9998562869684516,0.19139833965588265,0.9998614129064608,0.19037471250226795,0.9998625435098052,0.17265573871240195,0.9998783252122461,0.17244351310063288,0.9998784735907698
NP-GJ1068,1,0.5016205657964948,0.5669530175112739,0.4991914519191667,0.5784481280412804,0.4727149377321255,0.7006173292767859,0.4701671711215683,0.7117996256360162,0.4687478987585912,0.7179657260404417,0.4461325551937663,0.8086787761434193,0.43617154271514796,0.843206840908254,0.4158365542019635,0.9016396451165809,0.41564327949200464,0.9021149205610158,0.4140588283873316,0.9059543610000312,0.4126808693381683,0.9092112692699088,0.4105783780904744,0.9140340749340516,0.4072984425765699,0.9212069469715004,0.40407806207315206,0.9278388994199476,0.3935124324490691,0.9468385749174282,0.3933100286043297,0.9471627352528292,0.3874654004885545,0.9559108771442142,0.3865412580627561,0.9571884959694222,0.3808954884587057,0.9643982704772108,0.3796435513155568,0.9658631610471357,0.3748718966804563,0.971025457871912,0.3745368608294021,0.9713636782806916,0.3659486312968511,0.9790280636445934,0.3600735349990458,0.9832537218559236,0.3564735063278552,0.9854821145500301,0.34970079777092405,0.9890167183914086,0.3482211565730048,0.9896851238400642,0.34230174211395703,0.9920298381215024,0.3265056747020167,0.9962055763385956,0.3206983720108355,0.9971699783285952
NP-GJ1100,1,0.5271068465524924,0.006762641130136876,0.5004373768031031,0.014543661096006029,0.44824512423269147,0.05690342921206641,0.4405014001662492,0.06861998872738047,0.4337632508846658,0.08049218256566461,0.4271819410418168,0.09377895492836087,0.4218190948404796,0.10596613705930223,0.4181395083256284,0.11509007392021595,0.406871750577178,0.14725208816172733,0.400721344322536,0.16772737304453705,0.3993283208671802,0.17267066995429126,0.39861992827458864,0.1752289122476099,0.3834067388494191,0.2377195439646719,0.3820122229675323,0.24419444643857044,0.3800754316708708,0.2534003849852152,0.37974178021655897,0.2550113847369577,0.3791080925757502,0.2580914084184828,0.3771899776015227,0.26757684176186125,0.3739268002308902,0.28427517074148706,0.3718020365481615,0.29552711198591464,0.3687928958751728,0.3119702753858725,0.36365916279791705,0.3413748997139229,0.3593044746099041,0.3676117476041289,0.3589862595846265,0.3695739959055439,0.3494509250305756,0.4310153465222786,0.34935195162895194,0.43167814533318016,0.3461611391700695,0.4532927285157228,0.3461039234002794,0.4536845177894075,0.34232484252937234,0.4798630967751513,0.3411821596083203,0.4878874138939077
