STARID,LABEL,1th Peak,1th Peak F.A.P,2th Peak,2th Peak F.A.P,3th Peak,3th Peak F.A.P,4th Peak,4th Peak F.A.P,5th Peak,5th Peak F.A.P
NP-G267-158,1,0.550843763828229,1.3288292810708501e-05,0.5159905778240591,6.179154590316702e-05,0.5072431902937229,8.924549892710263e-05,0.5020540195569455,0.00011063761785656123,0.4826053425785182,0.00024253641811719816
NP-GJ1001,1,0.5632210010320731,0.005827778707989787,0.5430756877402266,0.010035076812438442,0.5212393125003928,0.017557287737922495,0.4771966622809293,0.049661484943230284,0.4709168678690222,0.05705654034198127
NP-GJ1012,1,0.4747779568187735,0.98227817426992,0.4528860637637789,0.9884247466850864,0.3948035649163503,0.9965205839700422,0.3378489365077265,0.9989910183807024,0.3338721581413185,0.9990749914758746
NP-GJ1031,1,0.3348610017952829,0.2884862614244569,0.3321608102008047,0.3040147542086906,0.2589164253085903,0.8318274764831265,0.2551479966067007,0.8540215116691475,0.2407453257008282,0.9230206165785068
NP-GJ1032,1,0.7361448929871157,0.22956667086205185,0.7259871951843088,0.2601575120720985,0.7258127506971632,0.2606996621898884,0.7227402731725943,0.2703381766399547,0.7171615023825002,0.28826108034149045
NP-GJ103,1,0.6772615929811454,0.4685732579874658,0.6628988435230941,0.5175315123530407,0.6612070633425058,0.5232805284679818,0.6562600884897332,0.540043032372043,0.6480698927151208,0.5675755988815777
NP-GJ1046,1,0.9746426737380264,1.2175343559295366e-16,0.9722972914813142,3.3634553710656533e-16,0.9606285798738364,1.9045536817415225e-14,0.8671036460370714,2.156076212063625e-08,0.8605936387066644,3.7230113899908485e-08
NP-GJ1057,1,0.4211787635927484,0.9956831934134056,0.4033186066386679,0.9968499645566136,0.3803882744843206,0.9978962762149058,0.3802388006922576,0.997901784460454,0.3368633567836073,0.9990077116976354
NP-GJ1068,1,0.5016205657964948,0.5669530175112739,0.4991914519191667,0.5784481280412804,0.4727149377321255,0.7006173292767859,0.4701671711215683,0.7117996256360162,0.4687478987585912,0.7179657260404417
NP-GJ1100,1,0.5271068465524924,0.006762641130136876,0.5004373768031031,0.014543661096006029,0.44824512423269147,0.05690342921206641,0.4405014001662492,0.06861998872738047,0.4337632508846658,0.08049218256566461
