Number of Peaks,F1 score,Precision,Accuracy,Recall,F1 score STD,Precision STD,Accuracy STD,Recall STD
5.0,0.9064476355152056,0.9089177510196726,0.9072000000000001,0.9060529143931125,0.021952160936662263,0.020930222361434356,0.021525798475317957,0.023022259628624572
10.0,0.9766306937813644,0.9776392932014689,0.9768000000000001,0.9770241365845729,0.013206612513408211,0.012162674915747003,0.013120975573485391,0.013372160690591555
15.0,0.9863570168670277,0.9869185962023744,0.9863999999999999,0.9862379001326882,0.006230738180894912,0.006108721905098797,0.006248199740725329,0.0060330148804511015
20.0,0.993586145560862,0.9936116823364808,0.9936,0.9937373149006378,0.006978888619737397,0.006936440464793638,0.006974238309665084,0.006738358863043915
25.0,0.9951809467147499,0.9952427738336713,0.9952,0.995221593284662,0.005330685417116802,0.005105427117921901,0.005306599664568644,0.005451113585432618
30.0,0.9951730564410596,0.9955399124824058,0.9952,0.9949090502166189,0.0053354677891423894,0.004910246126890649,0.005306599664568644,0.005629727826670219
35.0,0.9991967097230254,0.9991525423728813,0.9992000000000001,0.9992537313432835,0.002409870830923466,0.0025423728813559255,0.002400000000000002,0.00223880597014926
40.0,0.9975929995643942,0.9975867044832561,0.9975999999999999,0.9976377217553688,0.0036767724345649596,0.003694003230809912,0.0036660605559646754,0.003615173046546399
45.0,0.9959970252447432,0.9960790021112768,0.9960000000000001,0.9960036826972312,0.005368935562835001,0.005253683278623844,0.0053665631459995,0.00534695778488957
50.0,0.9967881470611403,0.9969268774703558,0.9968,0.996725886997673,0.005321214803071093,0.0050703255507371075,0.005306599664568645,0.0054395372708125975
60.0,0.9959774264243821,0.9958691873098653,0.9960000000000001,0.9961502318699736,0.0040226996046137855,0.004149808184982634,0.0040000000000000036,0.003865232908998612
70.0,0.9951465287259168,0.9951251894988765,0.9952,0.9952720345947856,0.00535269610055098,0.0052191922924273585,0.005306599664568644,0.005436152989540053
80.0,0.994367165140457,0.9943611901395878,0.9944,0.994514539542174,0.006287531003746236,0.006290198873731298,0.0062481997407253295,0.006163310198077861
90.0,0.9943864381011945,0.9946112634957391,0.9944,0.9944001420250427,0.00952833879525491,0.0088006256231502,0.009499473669630342,0.009701086310341608
95.0,0.995984781536532,0.9962792986936974,0.9960000000000001,0.9958050847457628,0.006475834684191596,0.005983190283760817,0.006449806198638846,0.006771431563742762
100.0,0.9983929995643941,0.9985071301247771,0.9984,0.9983045977011494,0.0032140093703264226,0.00298615542374818,0.0032000000000000028,0.003391413348823202
