Number of Peaks,F1 score,Precision,Accuracy,Recall,F1 score STD,Precision STD,Accuracy STD,Recall STD
5.0,0.9397164083441835,0.9461908761616742,0.9399999999999998,0.940946987430175,0.021884123746150088,0.0195937229291732,0.021835750502329866,0.02049858100367626
10.0,0.9590919224639836,0.9618015645743767,0.9592,0.9600861872974387,0.0165481939171299,0.015349859692472628,0.016569852141766362,0.015106151101035428
15.0,0.9839035934235598,0.984138712975023,0.984,0.9843301113209684,0.008822344529165674,0.008337521527436314,0.008763560920082666,0.00889168140193582
20.0,0.9783299531433072,0.9793841342868592,0.9784,0.9783697300967829,0.009523223965417422,0.008729188716706525,0.009499473669630344,0.009778417134983923
25.0,0.9855435233596012,0.9863626358100349,0.9855999999999998,0.9852558717747982,0.007836878363058486,0.007680867701182482,0.007838367176906176,0.0076396911969433936
30.0,0.9879185351225732,0.988680494550579,0.9879999999999999,0.9875296996909835,0.00651869766462254,0.005983707943172293,0.006449806198638846,0.006866707154355583
35.0,0.9823202371943257,0.9836689995673311,0.9823999999999999,0.9818077965558046,0.01068386607547801,0.009695909826305303,0.010613199329137289,0.011124713375479876
40.0,0.9879803494925323,0.9882942085326952,0.9880000000000001,0.9881557695295952,0.0102826953858771,0.009767373012572973,0.010276186062932112,0.010253248827786738
45.0,0.9879579746761842,0.9881192775617711,0.9880000000000001,0.9881899632548479,0.0074013072198888105,0.007337544519253529,0.007375635565834316,0.007162678263980864
50.0,0.9855076812776815,0.9860349575970714,0.9855999999999998,0.9855389502446986,0.008619201238000324,0.008625182422573057,0.008616263691415214,0.00821535507193326
60.0,0.9919111790057309,0.9917119036003393,0.992,0.9923203149084822,0.0062988049531276106,0.006562936933891192,0.006196773353931873,0.006007599341509952
70.0,0.9887669886026436,0.98917333920031,0.9888,0.988715808303588,0.007352070924113145,0.007312637189089002,0.007332121111929351,0.007136650335273783
80.0,0.9919704392809428,0.9923100947420596,0.9920000000000002,0.9918340779545025,0.006211192520715671,0.005794880254048716,0.0061967733539318726,0.006364008913254402
90.0,0.9903601274973204,0.9905122292815424,0.9904,0.990438171649747,0.004818852530260865,0.004686516492299176,0.004800000000000004,0.004866066792968795
95.0,0.9902854423029748,0.9909307560045937,0.9904,0.989928258139989,0.0070961116832137195,0.006259962870922575,0.006974238309665084,0.007749959680912123
100.0,0.9887575304631167,0.9889954603134339,0.9888000000000001,0.9889237278081152,0.008915470572707942,0.008592305821309047,0.008908422980528043,0.008831733570909947
