Number of Peaks,F1 score,Precision,Accuracy,Recall,F1 score STD,Precision STD,Accuracy STD,Recall STD
5.0,0.89652039723183,0.8975960789367056,0.8968,0.8979631558006307,0.019954411274863627,0.019113060992857332,0.02006389792637514,0.02036050409768905
10.0,0.9381211679096466,0.9393353691860227,0.9384,0.9382372376737708,0.01980856823630288,0.019818898582064308,0.019612241075409993,0.019789052877328808
15.0,0.9149858906677901,0.9159496571958649,0.9151999999999999,0.9155916469881975,0.024739402051377382,0.02372838893132455,0.02457966639317953,0.024964555201972976
20.0,0.9846867913704939,0.9855128589686594,0.9847999999999999,0.9845102248090832,0.009796620140376442,0.009686668896343596,0.00976524449258697,0.00952355215673174
25.0,0.9839714521257585,0.984498181368996,0.984,0.9845798995051398,0.01828273281260216,0.01735983002206986,0.018242806801586225,0.017560079169939857
30.0,0.9807458355591073,0.981404664911738,0.9808,0.9808403542028954,0.013033386021205873,0.012251766061995769,0.012998461447417547,0.013223249176489078
35.0,0.993573919892043,0.9937395628848444,0.9936,0.9935870540745034,0.007004293705194266,0.006887593816673533,0.006974238309665083,0.00695495834081946
40.0,0.993581100584017,0.9935253689998064,0.9936,0.993888312448453,0.00935866175927082,0.00954891863697212,0.00932952303175249,0.008622629171964324
45.0,0.9959695113583195,0.9959138644125287,0.9960000000000001,0.9960901027077498,0.00403064358832667,0.0041121353919883604,0.0040000000000000036,0.003940026306010139
50.0,0.9991997951475579,0.99921875,0.9992000000000001,0.9991935483870968,0.0024006145573266966,0.0023437500000000003,0.002400000000000002,0.0024193548387096754
60.0,0.9935484867143858,0.9934473065596497,0.9936,0.9938058511026935,0.006062684027659248,0.006253236110001495,0.005986651818838311,0.005800268756462063
70.0,0.9975878465853281,0.99764506115926,0.9975999999999999,0.9975693035835024,0.0036846350882630344,0.0036099413774439543,0.0036660605559646754,0.0037248305710210813
80.0,0.9991948470209341,0.9991379310344828,0.9992000000000001,0.9992647058823529,0.0024154589371980784,0.0025862068965517124,0.0024000000000000024,0.0022058823529411686
90.0,0.9975944576303803,0.9977611940298508,0.9975999999999999,0.9975409836065573,0.00721662710885882,0.006716417910447747,0.007200000000000007,0.007377049180327878
95.0,0.9959834545956625,0.9961430464240164,0.9960000000000001,0.9958881415094917,0.004016639812200314,0.0038675969301155996,0.0040000000000000036,0.0041255914691689585
100.0,0.9975754868081859,0.9976611592531288,0.9975999999999999,0.9975290851168686,0.0037038457203405813,0.0035925787379932996,0.0036660605559646754,0.0038035810423119516
