Number of Peaks,F1 score,Precision,Accuracy,Recall,F1 score STD,Precision STD,Accuracy STD,Recall STD
5.0,0.9432040380112092,0.9513881999199674,0.9440000000000002,0.9415268907872582,0.013785761189199242,0.009840995612314773,0.013386560424545182,0.015149473143036328
10.0,0.9304302389388461,0.9408568473894562,0.9311999999999999,0.9293469485277127,0.011290523345280782,0.010494735558922427,0.011426285485668533,0.009854047834792436
15.0,0.9533464083215945,0.9576395672086431,0.9536000000000001,0.9537724435427485,0.017591733984558558,0.014604643778986183,0.01745393938341712,0.017615339416503215
20.0,0.9831552635428231,0.9836574782351356,0.9832000000000001,0.9834436875167679,0.011006322433682752,0.010920797547974771,0.010998181667894026,0.010484801611796633
25.0,0.9823233818186218,0.9833582801196362,0.9823999999999998,0.9820725688694907,0.009360823013154194,0.008779475918859135,0.00932952303175249,0.009474307412417908
30.0,0.9815313225106215,0.9821718837968276,0.9816,0.9817839910699039,0.010788389839069275,0.010815304125751152,0.010762899237658979,0.010123317642336328
35.0,0.9847387157459867,0.9848673805311392,0.9847999999999999,0.9851810348306955,0.0075731632563012415,0.007679507937369886,0.00754718490564529,0.007201465550901592
40.0,0.9773802242895204,0.9795031667727869,0.9776,0.9763355965139816,0.006030550659851256,0.005288933737717859,0.005986651818838311,0.006537122210504549
45.0,0.9863781356722736,0.9866538604452572,0.9864,0.9866179893547727,0.008819065029717377,0.008878007231750334,0.008800000000000007,0.008237341633716614
50.0,0.9845953980950709,0.9863669978913027,0.9847999999999999,0.9837420742632738,0.015202082564688612,0.012916984013226563,0.014945233353815536,0.016425556975644535
60.0,0.9951658637128196,0.9954028277584408,0.9952000000000002,0.9950575124230676,0.006439047389980757,0.005998358637949827,0.0064000000000000055,0.006724380130923754
70.0,0.9943698531343523,0.9946010878821285,0.9944,0.9943038440594478,0.007222419631469549,0.006791318325862596,0.007200000000000007,0.007376665879374197
80.0,0.9927680137288389,0.9931012659076874,0.9927999999999999,0.9926012514031675,0.0056261657646354876,0.005239801000708263,0.005600000000000005,0.005878104000208059
90.0,0.9887465683981207,0.9888023052365507,0.9887999999999998,0.9890461568214557,0.007323405413596621,0.007052335728718975,0.007332121111929351,0.0073504172529280125
95.0,0.9943806152426108,0.9945416101415743,0.9944,0.994334546748434,0.005135722619947356,0.005129339730651407,0.005122499389946284,0.005040541774978818
100.0,0.9943719687046281,0.9945054448878501,0.9944,0.994379510059465,0.006281435849456826,0.006126446905679796,0.0062481997407253295,0.0063051669801555375
